A,B,C,D,E,F
27,123.34,17,310.01,-27.2514,-61.2075
13,39.12,20,367.45,-38.5893,-75.7355
14,45.07,19,348.14,-38.1248,-58.7069
25,111.03,5,82.37,-27.5776,-23.1403
8,9.5,17,310.45,-31.3007,-6.65317
9,15.12,35,652.03,-20.5061,-20.5061
20,81.34,7,120.37,9.25887,14.2574
8,9.48,33,614.44,-34.2021,-93.9692
2,-26.97,13,234.24,-1.6961,-1.05984
25,111.23,11,196.11,-77.2963,-37.6999
11,27.12,39,728.35,-16.3135,-7.60712
18,69.19,19,348.22,76.0291,30.7177
0,-39,28,520.22,-40.4509,-29.3892
0,-38.79,7,120.23,-90.2105,-32.8339
3,-20.94,3,44.23,-31.0308,-20.1516
38,189.23,25,462.14,4.89074,1.03956
19,75.52,1,6.56,-85.4016,-16.6004
16,57.22,39,728.33,-62.9156,-30.686
17,63.39,38,709.53,34.3844,81.0044
33,159.01,23,424.54,-9.76707,-28.3655
7,3.37,24,443.49,16.2166,24.0421
12,33.06,37,690.5,-15.6293,-36.8202
21,87.45,7,120.49,-35.2133,-7.48481
6,-2.69,11,196.41,63.4416,29.5833
6,-2.59,24,443.26,33.354,41.1887
27,123.17,27,500,108.961,21.1798
5,-8.79,17,309.99,32.8631,61.8063
4,-14.72,25,462.2,-13.0714,-20.1281
0,-38.81,36,671.28,19.0152,17.7319
3,-20.99,34,633.16,-32.4514,-13.1112
26,117.29,19,348.42,34.7391,4.26542
33,159.37,8,139.28,-4.24264,-4.24264
0,-38.73,2,25.55,-13.7415,-44.9463
12,33.22,32,595.25,-54.7652,-72.6758
38,189.09,34,633.42,-33.3163,-68.3083
12,32.99,31,576.09,12.2578,24.0572
36,177.17,11,196.13,53.427,33.3849
7,3.53,28,519.18,73.2798,10.2988
39,195.43,39,728.4,-71.4785,-19.1526
21,88.13,4,63.32,-8.62583,-16.9291
34,165.43,30,557.34,-13.1512,-26.9638
7,3.23,30,557.35,69.5373,25.3095
36,177.38,21,386.33,1.23132,1.57602
9,15.5,5,81.97,37.4713,41.6161
0,-38.94,0,-12.78,1.49843,3.70873
33,159.27,39,728.33,-29.4929,-28.481
5,-8.56,7,120.24,-12.5267,-19.2894
13,39.1,35,652.43,17.6121,11.4374
14,45.48,31,576.16,-24.0893,-51.6595
35,171.21,29,538.32,-18.2768,-47.6126
28,129.11,16,291.37,8.77118,28.6891
1,-32.95,15,272.18,-51.9113,-39.1179
23,99.45,38,709.07,4.13458,14.4189
28,129.38,2,25.29,70.6772,13.7382
32,153.04,10,176.98,90.3586,25.9099
27,123.12,37,690.13,-27.4702,-58.91
24,105.13,8,139.28,56.4453,7.93286
3,-20.71,4,63.1,-62.2943,-45.2594
25,111,32,595.56,13.0899,23.6147
25,111.36,4,63.24,-6.34416,-2.95833
30,141.49,5,82.45,87.6651,7.6697
20,81.09,29,538.45,16.8211,15.686
31,147.56,23,424.44,81.8471,18.8959
18,69.46,33,614.07,6.25193,6.47405
7,3.43,32,595.4,-11.6287,-31.9495
33,159.33,38,709.36,14.9373,5.73388
31,147.53,31,576.29,-49.7374,-40.2765
23,98.97,25,462.55,28.3155,60.7226
36,177.23,11,196.06,44.7236,33.7016
22,93.52,39,728.32,6.42788,7.66044
12,33.01,33,614.27,43.0183,61.4364
29,135.55,38,709.29,23.7474,19.9264
38,189.23,15,272.01,45.7497,70.4483
26,116.97,8,139.14,-91.7912,-37.086
30,141.53,24,443.18,8.42649,7.07066
