A,B,C,D
1,27,19.32,121
2,28,27.27,126
3,25,35.22,111.31
4,27,43.03,121.16
5,2,51.17,-3.82
6,15,59.23,61.08
7,28,67.13,126.37
8,32,75.12,146.35
9,22,83.03,96.16
10,8,90.99,26.16
11,27,99.18,121.1
12,29,106.98,130.99
13,24,115.24,106.15
14,9,123.03,31.2
15,28,131.06,125.99
16,0,139.13,-13.76
17,10,147.33,36.32
18,2,155.18,-4.02
19,39,163,181.04
20,18,171,76.37
21,28,179.28,126.17
22,1,187.09,-8.91
23,34,195.25,156.35
24,4,203.35,6.33
25,26,211.15,116.33
26,20,219.15,86.08
27,38,227.17,176.03
28,24,235.19,106.23
29,25,243.11,111.17
30,31,251.21,141.2
31,22,259.09,96.1
32,33,267.02,151.13
33,4,275.37,6.01
34,34,283.01,156.3
35,29,291.19,131.07
36,24,299.31,106.24
37,26,307.3,116.03
38,23,315.14,101.17
39,9,322.99,31.3
40,28,331.22,126.05
41,2,339.04,-3.84
42,14,347.37,56.21
43,30,355.02,136.12
44,25,363.36,111.07
45,17,371.17,71.2
46,26,379.01,116.14
47,4,387.27,6.06
48,9,395.1,31.14
49,28,403.11,126.08
50,12,411.32,46.32
51,19,419.34,81.31
52,30,427.01,136.22
53,13,435.23,51.18
54,19,443.08,81.08
55,20,451.25,86.27
56,2,459.03,-3.7
57,10,467.07,36.11
58,18,475.08,76.16
59,27,483.29,121.29
60,37,491.01,171.15
61,31,499.13,141.12
62,16,507.03,66.07
63,1,515.08,-8.68
64,21,523.19,91.02
65,32,530.99,146.21
66,21,539.33,91.18
67,6,547.04,16.19
68,11,555.14,41.29
69,29,563.01,131.12
70,21,570.98,91.08
71,30,579.22,136.23
72,36,586.98,166.2
73,5,595.31,11.22
74,31,603.05,141.03
75,27,611.37,121.04
76,2,619.1,-3.69
77,22,627.08,96.37
78,3,635.2,1.14
79,27,643.09,121.17
80,33,651.22,151.1
81,3,659.13,1.34
82,20,667.09,86.26
83,2,675.07,-3.8
84,26,682.98,116.27
85,23,691.26,101.18
86,21,699.28,91.3
87,15,707.03,61.33
88,14,714.98,56.15
89,30,723.25,136.26
90,2,731.11,-3.89
91,14,739.14,56.18
92,2,748,-3.73
93,23,755.28,101.21
94,24,763.02,106
95,25,771.31,111.23
96,5,779.03,11.05
97,35,787.28,161.2
98,32,795.23,146.26
99,33,803,151.17
100,12,811.2,46.11
