A,B,C,D
1,37,-27.91,340.08
2,23,-24.73,214.09
3,35,-22.01,322.26
4,27,-18.93,250.08
5,35,-16.01,322.01
6,2,-12.68,25.05
7,3,-9.82,33.98
8,33,-6.73,304.3
9,24,-3.69,223.24
10,16,-0.77,151.24
11,25,2.2,232.35
12,35,5.03,322.16
13,39,7.98,358.17
14,27,11.18,250.18
15,29,14.05,268.12
16,32,17.07,294.98
17,31,20.11,286.19
18,31,23.36,286
19,15,26.2,142.34
20,34,29.28,313.19
21,20,32.13,187.33
22,18,35.01,169.31
23,36,38,331.23
24,8,41.27,79.03
25,20,44.16,187.1
26,34,47,313.12
27,35,50.31,322.17
28,8,53.14,79.15
29,10,56.29,97.29
30,38,59.23,349.19
31,11,62.36,106.26
32,7,65.14,70.29
33,0,68.02,7.31
34,17,71.02,160.12
35,23,74.23,214.22
36,27,77.09,250.24
37,1,80.36,16.09
38,20,83.04,187.25
39,37,86.15,340.09
40,28,89.05,259.26
41,1,92.17,16.24
42,22,95.24,205.32
43,13,98.16,124.29
44,39,101.33,358.33
45,13,104.08,124.1
46,38,107.36,349.22
47,16,110.37,151.2
48,28,113.1,259.27
49,15,116.07,142.36
50,18,119.28,169.03
51,7,122.21,70.22
52,33,125.03,304
53,28,128.09,259.1
54,19,131.08,177.98
55,6,134.13,61
56,19,137.11,177.98
57,3,140.28,34.3
58,17,143.08,160.02
59,38,146.15,349.03
60,36,149.34,331.25
61,34,152.01,313.01
62,10,155.26,97.06
63,5,158.06,52.09
64,17,161.17,160.11
65,9,164.24,88.27
66,12,167.35,115.32
67,4,169.98,43.14
68,36,173.07,331.24
69,32,176.06,295.02
70,30,179.34,277.3
71,17,182.28,160.33
72,20,185.31,187.21
73,21,188.36,196.3
74,32,191.05,295.09
75,38,194.15,349.27
76,27,197.19,250.24
77,13,200.23,124.16
78,22,203.12,205.26
79,0,206.36,7.34
80,4,209.26,43.22
81,36,212.04,331.13
82,23,215.16,214.06
83,39,218.37,358.04
84,23,221.22,214.03
85,34,224.2,313.12
86,16,226.99,151.33
87,2,230.04,25.11
88,21,233.26,196.17
89,1,236.27,16.15
90,29,239.23,268.04
91,13,242.12,124.02
92,28,245.27,259.2
93,28,248.26,259.12
94,26,251.09,241.36
95,32,254.36,295.1
96,6,257.12,61.03
97,34,260.14,313.01
98,39,263.27,358.3
99,18,266.28,169.11
100,27,269.09,250.28
