A,B,C,D
1,27,19.02,121.22
2,31,27.14,141.19
3,35,35.14,161.25
4,5,43.2,11.19
5,31,50.98,141.12
6,8,59.29,26.3
7,26,67.05,116.08
8,16,75.12,66.31
9,9,83.1,31.25
10,8,91.32,26.09
11,16,99.11,66.06
12,1,107.34,-8.78
13,14,115.3,56.31
14,33,123.27,151.13
15,14,131.18,56.06
16,20,139.27,86.37
17,13,147.05,51.36
18,15,155.13,61.11
19,9,163.14,31.15
20,28,171.22,126.09
21,39,179.31,181.22
22,39,187.32,181.19
23,16,194.98,66.03
24,9,203.31,31.32
25,16,211.37,66.05
26,16,219.17,66.34
27,15,227.3,61.33
28,14,235.06,56
29,19,243.07,81.16
30,36,251.35,166.32
31,0,259.26,-13.75
32,24,267.26,106.11
33,37,275.02,171.11
34,2,283.03,-3.64
35,29,291.11,131.27
36,36,299.28,166.07
37,24,307.03,106.31
38,19,315.09,81.31
39,13,323.2,51
40,31,331.09,141.29
41,17,339.09,71.18
42,37,347.33,170.98
43,10,355.23,36.34
44,16,363.25,66.31
45,6,371.06,16.04
46,36,379.02,166.34
47,37,387.26,171.32
48,30,395.37,136.35
49,24,403.1,106.18
50,18,411.33,76.21
51,10,419.03,36.32
52,30,427,136.19
53,22,435.02,96.04
54,18,443.18,76.24
55,11,451.17,41.32
56,9,459.13,31.29
57,6,467.02,16.17
58,32,475.32,146.09
59,29,483.08,131.21
60,1,491.27,-8.91
61,24,499.37,106.14
62,18,507.19,76.16
63,32,515.33,146.12
64,38,523.11,176.33
65,16,531.14,66.04
66,3,539.23,1.19
67,34,547.21,156.15
68,5,555.13,11.01
69,16,563.35,66.12
70,32,571.36,146.33
71,3,579.13,1.24
72,11,587.23,41.37
73,21,595.15,91.32
74,35,603.06,161.37
75,22,611.22,96.05
76,28,619.17,126.22
77,1,627.11,-8.94
78,18,635.17,76.13
79,22,643.33,96.1
80,28,651.17,126.01
81,23,659.12,101.08
82,9,667.23,31.33
83,0,675.04,-13.89
84,34,683.32,156.19
85,33,691.14,151.35
86,0,699.35,-13.85
87,24,707.36,106.2
88,24,715.15,105.99
89,32,723.29,146.27
90,36,731.17,166.06
91,39,739.32,181.21
92,9,747.33,30.98
93,37,755.33,171.37
94,10,763.27,36.31
95,23,771.12,100.99
96,12,779.12,46.36
97,21,787.28,91.27
98,4,795.05,6.04
99,37,803.37,171.27
100,26,811.33,115.98
