A,B,C,D
1,35,37.24,359.1
2,14,44.29,169.99
3,3,51.18,71.17
4,17,57.98,197.29
5,7,65.04,107.18
6,16,72.18,188.37
7,5,78.99,89.12
8,30,86.19,314.01
9,31,93.11,322.99
10,37,100.25,377.25
11,12,107.13,152.11
12,17,114.27,197.02
13,18,121.22,206.14
14,30,127.99,314.15
15,13,135.06,161.13
16,26,142.23,278.33
17,25,149.28,269.27
18,31,156.1,323.08
19,34,163.01,350.13
20,36,170.31,368.33
21,23,177.03,251.08
22,28,184.12,296.29
23,24,191.23,260.13
24,1,198.13,53.15
25,10,205.26,134.15
26,25,212.04,269.32
27,13,219.3,161.15
28,2,226.13,62.27
29,4,233.08,80.31
30,19,240.36,215.16
31,6,247.11,98.21
32,8,253.99,116.28
33,39,261.23,395.13
34,15,268.16,179.2
35,24,275.18,260
36,33,282.04,341.07
37,28,289.09,296.31
38,5,296.11,89.06
39,26,303.15,278.08
40,19,310.26,215.06
41,37,317.33,377.11
42,13,324.01,161.12
43,35,331.33,359.3
44,2,338,62
45,24,345.24,260.21
46,18,352.09,206.19
47,27,359.37,287.3
48,12,366.34,152.35
49,21,373.21,233.12
50,31,380.32,323.32
51,32,387.22,332.27
52,5,394.27,89.23
53,12,401.22,152.1
54,36,408.16,368.12
55,38,415.32,386.3
56,13,422.1,161.01
57,26,428.98,278.33
58,10,436.1,134.29
59,7,443.23,107.04
60,21,450.07,232.99
61,8,457.31,116.15
62,29,464.36,305.04
63,14,471,170.2
64,18,478.36,206.3
65,32,485.27,332.24
66,16,492.32,188.36
67,12,499.19,152.28
68,7,507,107.21
69,35,513.36,359.29
70,20,520.03,224.02
71,21,527.36,233.1
72,14,534.05,170
73,5,541.11,89.06
74,7,548.25,107.25
75,38,555.17,386.09
76,19,562.35,215.18
77,13,569.33,161.3
78,26,576.24,278.37
79,10,583.19,134.27
80,33,590.31,341.24
81,37,597.13,377.14
82,10,604.27,134.21
83,4,611.32,80.26
84,12,618.32,152.13
85,31,625.3,323.24
86,3,632.01,71.13
87,23,639.14,251.09
88,7,646.33,107.35
89,6,653.35,98.08
90,35,660.2,359.33
91,14,667.17,170.08
92,30,674.19,314.3
93,14,681.23,170.16
94,2,688.28,62.02
95,10,695.19,134.34
96,28,702.14,296.29
97,4,709.29,79.98
98,15,716.36,179.33
99,4,723.02,80.22
100,6,730.3,98.04
