A,B,C,D
1,1,37.12,53.32
2,29,44.26,305.01
3,17,51.08,197.02
4,34,58.15,350
5,18,65.35,206.25
6,9,72.33,125.24
7,37,79.33,377.02
8,24,86.32,260.18
9,6,93.24,98.12
10,24,100.17,260.12
11,38,107.18,386.26
12,24,114.07,260.14
13,19,121.16,215.17
14,15,128.03,179.26
15,18,135.21,206.23
16,5,142.22,89.19
17,24,149.2,260.06
18,28,156.36,296.01
19,1,163.35,53.19
20,15,170.19,178.98
21,30,177.1,314.1
22,10,184.34,134.11
23,19,191.14,215.3
24,38,198.29,386.27
25,26,204.99,278.02
26,11,212.37,143.26
27,24,219.21,260.08
28,25,226.01,268.99
29,20,233.02,224.36
30,1,240.1,53.17
31,34,247,350.21
32,6,254.02,98.18
33,12,261.21,152.26
34,36,268.19,368.09
35,25,275.37,269.03
36,29,282.01,305.02
37,17,289.17,197.17
38,20,296.02,224.12
39,21,303.22,233.09
40,19,310.16,215.21
41,30,317.02,314.15
42,14,324,170.19
43,26,331.12,278.03
44,6,338.08,98.16
45,9,345.33,125.16
46,14,352.14,170.11
47,10,359.32,134.3
48,29,366.04,305.27
49,4,373.25,80.11
50,15,380.36,179.21
51,30,387.26,314.17
52,7,394.32,107.2
53,20,401.1,224.34
54,25,408.16,269.05
55,36,415.26,368.32
56,6,422.32,98.09
57,19,429.03,215.35
58,11,436.24,143.01
59,0,443.28,44.2
60,6,450.35,98.18
61,21,457.17,232.98
62,1,464.16,53.25
63,23,471.37,251.37
64,11,478.14,143.16
65,10,485.1,134.36
66,5,492.16,89.22
67,16,499.27,188.27
68,13,506.31,161.14
69,8,513.31,116.36
70,30,520.29,314.26
71,2,527.11,62.05
72,34,534.04,350.16
73,21,541.19,233.15
74,13,548.3,161.23
75,31,555.01,323.28
76,21,562.06,232.98
77,5,569.14,89.28
78,27,576.19,287.21
79,35,583.27,359.06
80,25,590.17,268.98
81,13,597.11,161.03
82,13,604.05,161.09
83,31,611.27,323.3
84,0,618,44.22
85,25,625.23,269.17
86,15,632.36,179.25
87,16,639.33,188.33
88,38,646.2,386.14
89,21,653.07,233.03
90,29,660.33,305.14
91,21,666.98,233.27
92,26,674.03,278.35
93,29,681.26,305.16
94,21,688.26,233.1
95,38,695.04,386.27
96,17,702.11,197.25
97,37,709.27,377.2
98,24,716.17,260.35
99,1,723.3,53.36
100,6,730.2,98.31
